"mfr_id","user_id","city_name","mfr_distance","start_point_lng","start_point_lat","end_point_lng","end_point_lat","start_type","end_type","walk","bike","bus","car_pooling","car","motorbike","frequency","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","created_at","deleted_at"
4015,3769,"Milano",33,8.9102312,45.5829359,9.270043,45.422388,1,2,0,0,0,0,10000,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-11-08 12:25:00.841873","2019-11-08 12:25:22.37292"
NULL,1844,"Fundão",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1401,1213,"Palermo",1,13.3518681487299,38.12769794067,13.3626264,38.118539,1,2,100,0,0,0,0,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-03-15 08:08:25.630319",NULL
1543,1321,"Palermo",1,13.3674508,38.0984036,13.3682397,38.1044347,1,2,0,0,0,0,0,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-04-03 07:59:50.962506",NULL
3817,4663,"München",60,11.6173024,48.6798884,11.559998,48.1402669,1,2,5000,0,0,0,1000,0,1,false,false,false,false,false,true,false,"9:00","4:29","2019-10-26 06:43:50.483267","2019-10-26 06:44:23.106834"
2704,2371,"Antwerpen",74,4.4354077,51.2191327,5.3887681,50.9284716,1,2,0,7000,3000,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-06-25 09:47:34.849096",NULL
3831,2163,"Modena",1,12.5117497973556,41.922597008208,12.5253626427907,41.9143179207137,12,1,10000,0,3000,0,0,0,4,false,false,false,true,true,true,true,"22:36","22:59","2019-10-27 18:04:05.724988",NULL
407,387,"Palermo",7,13.3314582,38.183427,13.3561106,38.1239185,1,2,70,30,70,22,68,22,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-10-21 15:07:27.596925",NULL
3495,3886,"Katowice",3,19.0605209,50.2595079,19.0138989,50.2534794,1,2,0,10000,0,0,0,0,1,true,true,true,true,true,true,true,"7:48","8:16","2019-10-01 19:47:04.368322",NULL
2159,1602,"Palermo",1,13.3325346,38.1283649,13.3419262,38.1324081,1,0,0,0,5000,0,0,0,1,true,true,true,true,true,true,true,"9:00","20:15","2019-05-22 10:16:29.734688","2019-05-22 10:17:07.408481"
1826,1552,"Palermo",3,13.3297495,38.1028456,13.3614412,38.1156738,1,2,100,0,0,0,0,0,1,true,true,true,true,true,false,false,"7:55","13:0","2019-05-14 07:00:25.130569",NULL
3650,4535,"Fundão",0,-7.50252279999999,40.137398,-7.50703899999999,40.135806,2,3,10000,0,0,0,0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-10-14 13:41:09.12682",NULL
3359,3246,"Teresina",1,-42.7527735811389,-5.10048543965196,-42.7472807301189,-5.11148645904623,1,2,0,10000,0,0,0,0,1,true,true,true,true,true,false,false,"21:34","22:52","2019-09-23 00:35:17.762268",NULL
1265,1094,"Barcelona",4,2.1517896,41.4026437,2.1903161,41.3896119,1,2,100,0,0,0,0,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-03-07 12:07:35.763904",NULL
2575,2307,"Barcelona",1,2.1912834,41.4314382,2.1800751,41.4286755,1,7,10000,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-06-15 18:29:31.737606","2019-06-15 18:30:50.550631"
2716,332,"Teresina",6,-42.8104853,-5.087689,-42.7549843999999,-5.07065039999999,2,1,0,0,5000,0,10000,0,1,true,true,true,true,true,false,false,"14:33","15:24","2019-06-25 19:33:40.870017",NULL
334,322,"Bologna",3,11.3379175,44.5186318,11.3430945,44.4937544,1,2,100,100,0,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-10-10 15:51:45.24217",NULL
1310,1132,"Barcelona",3,2.1604917,41.3715713,2.1513554,41.3994257,1,2,0,0,100,0,0,0,1,true,true,true,true,true,false,false,"9:00","18:0","2019-03-08 14:37:51.556993",NULL
3994,4789,"München",6,11.4858796,48.1423953,11.5606757,48.1402863,1,0,0,0,8000,0,1000,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-11-05 17:12:38.299303",NULL
324,313,"Gent",2,3.731549,51.0447687,3.7032563,51.0522552,2,1,100,75,25,0,50,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-10-08 13:06:32.985575",NULL
983,824,"Palermo",1,13.3322164,38.1545437,13.3337695,38.149262,1,9,50,0,0,0,50,50,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-02-18 10:21:52.17845",NULL
145,152,"Palermo",2,13.3562634,38.1099702,13.3477737,38.1312141,2,4,75,50,100,0,25,0,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-22 11:36:18.418179",NULL
1212,1042,"Luxembourg",1,5.92422257280695,49.5611531425937,5.9211251,49.5720739,1,2,50,0,0,0,90,0,1,true,true,true,true,true,false,false,"6:20","21:0","2019-03-05 18:22:35.715313",NULL
NULL,4479,"Amsterdam",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2061,1773,"Palermo",1,13.3574672788382,38.1111681043918,13.3470784127712,38.1017859755374,1,2,0,10000,0,0,0,0,1,true,true,true,true,true,false,false,"8:15","17:30","2019-05-21 07:55:34.15309","2019-05-21 07:58:17.472853"
917,770,"Rotterdam",5534,0.0,0.0,5.9436983049029,49.5057422473448,1,2,0,40,40,0,60,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-02-06 13:32:43.424547",NULL
2685,2310,"Palermo",1,13.3614302,38.1229934,13.3512492,38.120205,1,0,10000,0,0,0,10000,10000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-06-23 15:02:19.440456",NULL
1690,1440,"Barcelona",4,2.1602804,41.3908976,2.1125051,41.3879777,1,2,60,0,100,0,0,0,1,false,false,false,true,true,false,false,"8:20","18:0","2019-04-26 15:25:36.306559",NULL
