"user_id","tot_trip","valid_trip","invalid_trip","user_agent"
1,0,0,0,NULL
5,0,0,0,"iOS 12.2 iPad Air 2 iPad5,4 Apple"
7,25,14,11,"iOS 12.1 iPhone 6 iPhone7,2 Apple"
9,283,267,16,"iOS 12.1.4 iPhone 8 iPhone10,1 Apple"
10,104,93,11,"iOS 12.1.4 iPhone 8 iPhone10,4 Apple"
13,4,3,1,NULL
14,8,8,0,NULL
16,113,108,5,NULL
17,14,12,2,"Android 6.0 LG-H815 msm8992 LGE"
19,16,11,5,NULL
20,2,2,0,NULL
21,0,0,0,NULL
28,0,0,0,NULL
29,53,52,1,"iOS 12.2 iPhone SE iPhone8,4 Apple"
30,20,17,3,"Android 7.0 SM-A510F universal7580 samsung"
31,3,2,1,NULL
32,15,10,5,"Android 6.0 LENNY3 unknown WIKO"
33,2,1,1,"Android 9 BLA-L09 BLA HUAWEI"
34,81,64,17,"Android 8.1.0 Nexus 5X bullhead LGE"
36,3,0,3,NULL
37,34,29,5,"Android 8.0.0 ONEPLUS A3003 msm8996 OnePlus"
38,103,85,18,NULL
39,0,0,0,NULL
40,0,0,0,"iOS 12.2 iPhone 5s iPhone6,2 Apple"
41,0,0,0,NULL
42,17,16,1,"iOS 12.3 iPhone iPhone11,2 Apple"
43,0,0,0,NULL
45,0,0,0,NULL
46,32,28,4,NULL
47,0,0,0,NULL
48,0,0,0,NULL
49,4,4,0,NULL
50,563,532,31,"Android 9 ONEPLUS A6003 sdm845 OnePlus"
51,0,0,0,NULL
52,4,3,1,NULL
53,0,0,0,NULL
54,59,56,3,"Android 7.0 PRA-LX1 hi6250 HUAWEI"
55,0,0,0,NULL
56,0,0,0,NULL
57,0,0,0,NULL
58,15,14,1,NULL
59,385,336,49,"Android 7.1.1 SM-J510FN MSM8916 samsung"
60,0,0,0,NULL
61,0,0,0,NULL
62,598,540,58,"Android 6.0.1 ONE E1003 unknown OnePlus"
63,0,0,0,NULL
64,32,25,7,"Android 8.1.0 Mi Note 3 sdm660 Xiaomi"
65,0,0,0,NULL
66,106,104,2,"Android 6.0.1 SM-A500FU MSM8916 samsung"
67,0,0,0,NULL
68,0,0,0,NULL
69,758,736,22,"Android 9 ONEPLUS A6000 sdm845 OnePlus"
70,666,616,50,"Android 8.1.0 SM-J530F universal7870 samsung"
71,1,1,0,NULL
72,0,0,0,NULL
73,0,0,0,NULL
74,3,3,0,"iOS 12.2 iPhone 7 iPhone9,3 Apple"
75,0,0,0,NULL
76,0,0,0,NULL
77,0,0,0,NULL
78,2,0,2,NULL
79,0,0,0,NULL
80,2,1,1,NULL
81,1,1,0,NULL
82,1,1,0,NULL
83,2,2,0,NULL
84,715,625,90,"Android 8.0.0 ASUS_X00RD MSM8917 asus"
85,1,1,0,NULL
91,2,2,0,NULL
105,2,2,0,NULL
106,0,0,0,NULL
107,4,3,1,NULL
108,0,0,0,NULL
109,0,0,0,NULL
110,0,0,0,NULL
111,0,0,0,NULL
112,0,0,0,NULL
113,0,0,0,NULL
120,0,0,0,NULL
121,76,74,2,NULL
122,101,98,3,"Android 5.0 ASUS_Z00AD moorefield asus"
123,0,0,0,NULL
124,2,0,2,NULL
125,2,1,1,NULL
126,44,41,3,NULL
127,3,3,0,NULL
128,0,0,0,NULL
129,0,0,0,NULL
130,2,2,0,NULL
131,0,0,0,NULL
132,3,3,0,NULL
133,0,0,0,NULL
134,1,1,0,NULL
135,2,2,0,NULL
136,8,1,7,NULL
137,0,0,0,NULL
138,0,0,0,NULL
139,0,0,0,NULL
140,0,0,0,NULL
142,119,96,23,"Android 8.1.0 ONEPLUS A5000 msm8998 OnePlus"
143,9,5,4,NULL
144,0,0,0,NULL
145,0,0,0,NULL
146,0,0,0,NULL
147,0,0,0,NULL
148,0,0,0,NULL
149,53,53,0,NULL
150,0,0,0,NULL
151,0,0,0,NULL
152,1,0,1,NULL
153,0,0,0,NULL
154,0,0,0,NULL
155,62,59,3,"Android 9 SM-G950F universal8895 samsung"
156,0,0,0,NULL
166,2,1,1,NULL
167,1,1,0,NULL
168,0,0,0,NULL
170,356,314,42,"iOS 12.1.2 iPhone 8 Plus iPhone10,5 Apple"
171,0,0,0,NULL
172,0,0,0,NULL
173,27,23,4,"Android 6.0 EVA-L09 EVA-L09 HUAWEI"
174,0,0,0,NULL
175,297,266,31,"Android 8.0.0 ANE-LX1 ANE HUAWEI"
176,298,257,41,"Android 9 COR-L29 COR HUAWEI"
177,4,4,0,"iOS 12.1.4 iPhone iPhone11,8 Apple"
178,6,5,1,NULL
179,0,0,0,NULL
180,0,0,0,NULL
181,1,0,1,"iOS 12.2 iPhone 5s iPhone6,2 Apple"
182,15,12,3,NULL
183,0,0,0,NULL
184,6,6,0,NULL
185,0,0,0,NULL
186,0,0,0,NULL
187,3,2,1,NULL
188,0,0,0,NULL
189,0,0,0,NULL
190,0,0,0,NULL
191,0,0,0,NULL
192,1,1,0,NULL
193,0,0,0,NULL
194,0,0,0,NULL
196,0,0,0,NULL
197,1,1,0,NULL
198,0,0,0,NULL
199,4,4,0,"Android 8.1.0 Redmi 5 Plus msm8953 Xiaomi"
200,5,5,0,NULL
201,0,0,0,NULL
205,0,0,0,NULL
206,0,0,0,NULL
207,101,98,3,"iOS 12.2 iPhone 7 iPhone9,3 Apple"
208,7,6,1,"Android 8.0.0 SM-G935F universal8890 samsung"
209,0,0,0,NULL
210,4,3,1,NULL
211,438,415,23,"Android 8.0.0 MI 5 QC_Reference_Phone Xiaomi"
212,0,0,0,NULL
213,0,0,0,NULL
214,0,0,0,NULL
215,1,1,0,NULL
216,10,9,1,NULL
217,72,67,5,NULL
218,0,0,0,NULL
219,0,0,0,NULL
220,0,0,0,"Android 7.0 FRD-L09 FRD HUAWEI"
221,0,0,0,NULL
222,0,0,0,NULL
223,1,1,0,NULL
224,0,0,0,"iOS 12.2 iPhone 7 iPhone9,3 Apple"
225,0,0,0,NULL
226,328,239,89,"Android 6.0 ALE-L21 BalongV8R1SFT HUAWEI"
227,0,0,0,NULL
228,272,266,6,"Android 8.0.0 ASUS_Z017D msm8953 asus"
229,86,74,12,"Android 6.0 Redmi Note 4X unknown Xiaomi"
230,241,228,13,"iOS 12.2 iPhone X iPhone10,6 Apple"
231,0,0,0,NULL
232,0,0,0,NULL
233,0,0,0,NULL
234,0,0,0,NULL
235,20,17,3,NULL
236,0,0,0,NULL
