"user_id","level_id","avatar","bike","bike_sharing_user","car_sharing_user","pooling_passenger","pooling_pilot","city_name","car_owning_answer","moto_owning_answer","car_id","moto_id","created_at","mfr_distance","tot_trip","tot_km","tot_min","tot_points","walk_trip","walk_km","walk_min","walk_points","bike_trip","bike_km","bike_min","bike_points","tpl_trip","tpl_km","tpl_min","tpl_points","mft_trip","mft_km","mft_min","mft_points","mft_walk_trip","mft_walk_km","mft_walk_min","mft_walk_points","mft_bike_trip","mft_bike_km","mft_bike_min","mft_bike_points","mft_tpl_trip","mft_tpl_km","mft_tpl_min","mft_tpl_points","mft_id","walk","bike","bus","car_pooling","car","motorbike","registration_from_referral","num_positive_referral","num_follower","num_following"
1,1,13,0,false,false,false,false,"Madrid",0,0,NULL,NULL,"2018-09-10",0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
5,1,1,0,false,false,false,false,"Palermo",0,0,NULL,NULL,"2018-09-14",3,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,75,0,0,0,0,0,0,0,0,0
7,1,3,0,false,false,false,false,"Palermo",0,1,NULL,20,"2018-09-14",443,25,17.419,344,2686,23,16,339,2654,0,NULL,NULL,NULL,2,1,5,32,6,1,132,284,6,1,132,284,0,NULL,NULL,NULL,0,NULL,NULL,NULL,779,25,0,0,0,100,0,0,0,0,0
9,2,58,1,true,true,true,true,"Palermo",0,1,NULL,NULL,"2018-09-16",3,288,392.51,6500,63630,185,82,4680,28737,82,208,1491,32129,18,55,238,946,61,89,867,15810,32,7,363,2879,29,82,503,12931,0,NULL,NULL,NULL,13,75,100,25,25,25,0,0,12,12,11
10,1,69,0,false,false,true,true,"Palermo",1,0,8,NULL,"2018-09-17",10,139,230.521,2811,45774,121,123,2596,43173,0,NULL,NULL,NULL,15,88,205,2370,16,17,471,7237,16,17,471,7237,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1684,50,0,0,0,100,0,0,8,8,6
13,1,15,0,false,false,false,false,"Torino",0,0,NULL,NULL,"2018-09-18",3,4,15.958,69,1434,0,NULL,NULL,NULL,3,11,65,1434,1,5,4,NULL,2,6,36,802,0,NULL,NULL,NULL,2,6,36,802,0,NULL,NULL,NULL,17,0,100,0,0,0,0,0,0,0,0
14,1,16,0,false,false,false,false,"Torino",1,1,16,12,"2018-09-18",5,8,19.203,336,3916,8,19,336,3916,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,50,0,25,0,100,0,1,1,1,1
16,2,31,7,false,false,false,false,"Palermo",0,0,NULL,NULL,"2018-09-18",1,118,210.224,2890,52794,111,168,2756,52330,0,NULL,NULL,NULL,7,46,134,464,60,104,1329,32201,60,104,1329,32201,0,NULL,NULL,NULL,0,NULL,NULL,NULL,20,50,0,0,0,0,0,0,0,0,0
17,1,23,0,false,true,false,false,"Torino",1,0,53,NULL,"2018-09-18",1,14,18.753,187,3316,12,16,174,3145,0,NULL,NULL,NULL,2,3,13,171,1,1,17,430,1,1,17,430,0,NULL,NULL,NULL,0,NULL,NULL,NULL,21,100,25,25,0,100,0,0,1,1,3
19,1,44,0,false,false,false,false,"Fundão",1,1,47,16,"2018-09-18",3,16,57.096,403,3813,9,20,203,3439,0,NULL,NULL,NULL,7,38,200,374,1,6,42,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,6,42,NULL,23,50,0,100,0,0,0,0,0,0,0
20,1,27,0,false,false,false,false,NULL,0,0,NULL,NULL,"2018-09-18",1,2,0.398,9,123,2,0,9,123,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,75,0,0,0,0,0
21,1,15,0,false,false,false,false,"Barcelona",0,0,NULL,NULL,"2018-09-19",3,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,75,75,75,0,0,0,0,1,1,1
28,1,12,0,false,false,false,false,NULL,0,0,NULL,NULL,"2018-09-19",5,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,75,0,0,75,75,0,0,0,0,0
29,1,4,0,false,false,false,false,"Amsterdam",0,0,NULL,NULL,"2018-09-19",2,58,243.772,3458,24366,14,14,1329,4283,41,105,1995,15316,3,119,133,4767,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,50,100,25,0,0,0,0,0,0,0
30,1,10,0,false,false,false,false,"Amsterdam",0,0,NULL,NULL,"2018-09-19",1,26,219.797,12045,12814,6,77,571,2296,16,68,2534,10516,4,76,8938,2,3,2,34,304,1,0,5,0,2,2,28,304,0,NULL,NULL,NULL,36,50,100,25,0,0,0,0,0,0,0
31,1,12,0,false,false,false,false,"Palermo",0,0,NULL,NULL,"2018-09-19",7,3,4.373,101,470,2,2,77,470,0,NULL,NULL,NULL,1,3,24,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,75,0,0,0,0,0,0,0
32,1,8,0,false,false,false,false,"Palermo",2,0,38,NULL,"2018-09-19",1,15,30.463,378,3365,8,3,81,1197,5,16,222,2168,2,10,74,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,75,75,50,0,25,0,0,0,0,0
33,1,35,5,false,false,true,true,"Palermo",1,0,39,NULL,"2018-09-19",1,2,2.156,1319,659,2,2,1319,659,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,75,25,50,0,100,0,0,0,0,0
