"user_id","_2_17","_2_18","_2_19","_2_49","_3_20","_3_21","_3_22","_3_45","_4_23","_4_24","_4_25","_4_26","_4_50","_5_27","_5_28","_5_29","_5_30","_5_46","_6_31","_6_32","_6_33","_6_51","_7_34","_7_35","_7_36","_7_47","_8_37","_8_38","_8_39","_8_40","_8_48","_8_52","_9_41","_9_42","_9_43","_9_44"
1,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,"2018-09-14","2018-09-18","2018-09-11","2018-11-07","2018-09-24","2018-09-22","2018-09-22","2018-11-09","2018-10-18","2018-10-18","2018-10-22","2018-10-10","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14","2018-11-14",NULL,"2018-11-14","2018-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
