"id","first_name","substring","city_name","created_at","name"
70,"Dario","S","Palermo","2018-12-09","ThirdLocalTrophy"
291,"Enric","S",NULL,"2018-12-09","FirstGlobalTrophy"
570,"Pochi","L","Barcelona","2018-12-09","ThirdLocalTrophy"
401,"Aleksanteri","L","Helsinki","2018-12-09","SecondLocalTrophy"
274,"Nicolas","V","Barcelona","2018-12-09","SecondLocalTrophy"
442,"Tommi","J","Helsinki","2018-12-09","FirstLocalTrophy"
228,"Fabrizio","B",NULL,"2018-12-09","SecondGlobalTrophy"
228,"Fabrizio","B","Palermo","2018-12-09","FirstLocalTrophy"
291,"Enric","S","Barcelona","2018-12-09","FirstLocalTrophy"
392,"Aura","S","Helsinki","2018-12-09","ThirdLocalTrophy"
62,"Caterina","I",NULL,"2018-12-09","ThirdGlobalTrophy"
62,"Caterina","I","Palermo","2018-12-09","SecondLocalTrophy"
640,"Piens","A","Gent","2018-12-16","ThirdLocalTrophy"
69,"Asma","M","Palermo","2018-12-16","ThirdLocalTrophy"
70,"Dario","S",NULL,"2018-12-16","SecondGlobalTrophy"
70,"Dario","S","Palermo","2018-12-16","SecondLocalTrophy"
663,"Christof","V","Gent","2018-12-16","FirstLocalTrophy"
274,"Nicolas","V","Barcelona","2018-12-16","ThirdLocalTrophy"
401,"Aleksanteri","L","Helsinki","2018-12-16","SecondLocalTrophy"
570,"Pochi","L","Barcelona","2018-12-16","SecondLocalTrophy"
392,"Aura","S","Helsinki","2018-12-16","ThirdLocalTrophy"
291,"Enric","S","Barcelona","2018-12-16","FirstLocalTrophy"
211,"Gianluca","D",NULL,"2018-12-16","FirstGlobalTrophy"
230,"Job","J",NULL,"2018-12-16","ThirdGlobalTrophy"
644,"Fret","J","Gent","2018-12-16","SecondLocalTrophy"
442,"Tommi","J","Helsinki","2018-12-16","FirstLocalTrophy"
211,"Gianluca","D","Palermo","2018-12-16","FirstLocalTrophy"
593,"Raul","M","Barcelona","2018-12-23","ThirdLocalTrophy"
644,"Fret","J","Gent","2018-12-23","SecondLocalTrophy"
632,"Josep","B","Barcelona","2018-12-23","SecondLocalTrophy"
70,"Dario","S","Palermo","2018-12-23","SecondLocalTrophy"
69,"Asma","M","Palermo","2018-12-23","ThirdLocalTrophy"
291,"Enric","S","Barcelona","2018-12-23","FirstLocalTrophy"
211,"Gianluca","D",NULL,"2018-12-23","FirstGlobalTrophy"
442,"Tommi","J","Helsinki","2018-12-23","FirstLocalTrophy"
230,"Job","J",NULL,"2018-12-23","ThirdGlobalTrophy"
442,"Tommi","J",NULL,"2018-12-23","SecondGlobalTrophy"
663,"Christof","V","Gent","2018-12-23","FirstLocalTrophy"
640,"Piens","A","Gent","2018-12-23","ThirdLocalTrophy"
392,"Aura","S","Helsinki","2018-12-23","ThirdLocalTrophy"
401,"Aleksanteri","L","Helsinki","2018-12-23","SecondLocalTrophy"
211,"Gianluca","D","Palermo","2018-12-23","FirstLocalTrophy"
392,"Aura","S","Helsinki","2018-12-30","ThirdLocalTrophy"
401,"Aleksanteri","L","Helsinki","2018-12-30","SecondLocalTrophy"
570,"Pochi","L","Barcelona","2018-12-30","ThirdLocalTrophy"
640,"Piens","A","Gent","2018-12-30","ThirdLocalTrophy"
644,"Fret","J","Gent","2018-12-30","SecondLocalTrophy"
682,"Lali","G","Barcelona","2018-12-30","SecondLocalTrophy"
442,"Tommi","J",NULL,"2018-12-30","SecondGlobalTrophy"
70,"Dario","S","Palermo","2018-12-30","ThirdLocalTrophy"
211,"Gianluca","D",NULL,"2018-12-30","FirstGlobalTrophy"
442,"Tommi","J","Helsinki","2018-12-30","FirstLocalTrophy"
663,"Christof","V","Gent","2018-12-30","FirstLocalTrophy"
