id;text_answer;is_correct;created_at;updated_at;question_id
1;Mobility Urban Values;true;2018-10-15 08:43:34.787629;2018-10-15 08:43:34.787645;1
2;Mobility Ultra Variability;false;2018-10-15 08:43:34.787670;2018-10-15 08:43:34.787678;1
3;Mobility Ultra Variability;false;2018-10-15 08:43:34.787757;2018-10-15 08:43:34.787770;1
4;An amateur wrestler;false;2018-10-15 08:43:34.839527;2018-10-15 08:43:34.839544;2
5;A character inspired by 'Pulp Fiction';false;2018-10-15 08:43:34.839572;2018-10-15 08:43:34.839582;2
6;An acrobatic barman;true;2018-10-15 08:43:34.839605;2018-10-15 08:43:34.839615;2
7;A UFO;true;2018-10-15 08:43:34.849056;2018-10-15 08:43:34.849071;3
8;A (yellow) submarine;false;2018-10-15 08:43:34.849095;2018-10-15 08:43:34.849104;3
9;A time machine;false;2018-10-15 08:43:34.849125;2018-10-15 08:43:34.849133;3
10;Palermo;false;2018-10-15 08:47:13.772831;2018-10-15 08:47:13.772846;4
11;Bucharest;true;2018-10-15 08:47:13.772869;2018-10-15 08:47:13.772878;4
12;Marseille;false;2018-10-15 08:47:13.772899;2018-10-15 08:47:13.772907;4
13;A little more than 2 km;false;2018-10-15 08:47:13.782984;2018-10-15 08:47:13.782999;5
14;Between 5 and 5,5 km;false;2018-10-15 08:47:13.783022;2018-10-15 08:47:13.783031;5
15;About 7 km;true;2018-10-15 08:47:13.783051;2018-10-15 08:47:13.783059;5
16;12%;false;2018-10-15 08:47:13.792874;2018-10-15 08:47:13.792891;6
17;33%;false;2018-10-15 08:47:13.792918;2018-10-15 08:47:13.792928;6
18;64%;true;2018-10-15 08:47:13.792952;2018-10-15 08:47:13.792961;6
19;Mr. Miyagi from Karate Kid;false;2018-10-15 08:56:36.421084;2018-10-15 08:56:36.421102;7
20;The legendary Pai Mei from Kill Bill II;true;2018-10-15 08:56:36.421130;2018-10-15 08:56:36.421140;7
21;The oldest of Akira Kurosawa's Seven Samurai;false;2018-10-15 08:56:36.421165;2018-10-15 08:56:36.421174;7
22;Ghent;false;2018-10-15 08:56:36.430986;2018-10-15 08:56:36.431004;8
23;Fundao;false;2018-10-15 08:56:36.431032;2018-10-15 08:56:36.431042;8
24;Thessaloniki;true;2018-10-15 08:56:36.431066;2018-10-15 08:56:36.431076;8
25;TrafficO2;true;2018-10-15 08:56:36.440535;2018-10-15 08:56:36.440553;9
26;City Free;false;2018-10-15 08:56:36.440581;2018-10-15 08:56:36.440591;9
27;Muovity;false;2018-10-15 08:56:36.440643;2018-10-15 08:56:36.440664;9
28;10%;false;2018-10-15 08:58:53.967030;2018-10-15 08:58:53.967045;10
29;23%;true;2018-10-15 08:58:53.967134;2018-10-15 08:58:53.967146;10
30;48%;false;2018-10-15 08:58:53.967171;2018-10-15 08:58:53.967180;10
31;Age, sex and wight;false;2018-10-15 08:58:53.978815;2018-10-15 08:58:53.978832;11
32;Speed and road steepness;false;2018-10-15 08:58:53.978859;2018-10-15 08:58:53.978869;11
33;Road width and presence of cycle paths;true;2018-10-15 08:58:53.978893;2018-10-15 08:58:53.978902;11
34;Amsterdam;false;2018-10-15 08:58:53.988516;2018-10-15 08:58:53.988530;12
35;Strasbourg;true;2018-10-15 08:58:53.988555;2018-10-15 08:58:53.988563;12
36;Copenhagen;false;2018-10-15 08:58:53.988596;2018-10-15 08:58:53.988617;12
37;4;false;;;13
38;8;true;;;13
39;12;false;;;13
40;Rome;false;;;14
41;Amsterdam;false;;;14
42;Palermo;true;;;14
43;457;false;;;15
44;900;false;;;15
45;2.000;true;;;15
46;Luca;false;;;16
47;Neil;false;;;16
48;Samantha;true;;;16
49;A cherry tree;true;;;17
50;A goat;false;;;17
51;A curly girl named Emilia;false;;;17
52;It works as in the other cases.;false;;;18
53;It suggest you which stop to get off at.;false;;;18
54;It allows you to improve your free throws skills.;true;;;18
